 ,Label,Area,Mean,StdDev,Min,Max,Perim.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret
1,sample_img_04.tif:1_Normal,1959.826,148.779,13.440,41,198,167.976,54.802,1,288,167,23.326,45.115
2,sample_img_04.tif:2_Abnormal,1327.679,139.780,16.346,43,192,141.651,47.407,1,166,232,73.045,37.792
3,sample_img_04.tif:3_Normal,1315.833,144.650,18.166,28,203,167.503,62.395,1,616,297,46.616,31.811
4,sample_img_04.tif:4_Normal,2147.440,148.538,14.911,24,197,176.667,59.659,1,395,320,31.485,46.048
5,sample_img_04.tif:5_Normal,1774.597,147.910,12.352,67,194,159.102,52.412,1,194,235,155.876,43.892
6,sample_img_04.tif:6_Abnormal,1306.525,139.039,16.123,31,193,144.418,50.882,1,772,288,10.395,34.159
7,sample_img_04.tif:7_Abnormal,1260.603,142.201,18.256,48,209,137.083,44.034,1,53,356,29.941,37.624
8,sample_img_04.tif:8_Abnormal,826.915,137.925,21.332,32,201,128.693,48.843,1,634,371,13.170,22.724
9,sample_img_04.tif:9_Normal,2147.978,145.315,12.284,36,204,180.313,61.084,1,683,498,34.069,44.678
10,sample_img_04.tif:10_Normal,1907.288,146.670,18.008,21,203,167.344,56.054,1,129,509,38.344,45.813
11,sample_img_04.tif:11_Normal,1404.370,145.413,14.781,62,206,144.859,46.715,1,310,365,106.505,40.147
12,sample_img_04.tif:12_Abnormal,2405.668,140.424,15.857,26,201,186.050,59.415,1,566,576,83.050,52.535
13,sample_img_04.tif:13_Normal,1191.526,140.111,13.279,41,193,135.296,48.410,1,805,539,22.289,31.668
14,sample_img_04.tif:14_Normal,1006.913,143.034,15.570,33,197,125.514,45.816,1,175,593,27.483,27.327
15,sample_img_04.tif:15_Normal,1620.522,143.442,14.150,13,193,157.574,55.479,1,632,622,4.602,40.596
16,sample_img_04.tif:16_Abnormal,1266.756,138.363,16.449,36,202,136.796,44.161,1,368,589,174.578,38.893
17,sample_img_04.tif:17_Abnormal,1766.751,146.607,18.272,16,203,164.863,55.029,1,190,682,5.803,41.580
18,sample_img_04.tif:18_Abnormal,937.221,128.484,27.823,13,190,129.860,41.147,1,832,607,104.795,35.136
19,sample_img_04.tif:19_Normal,1332.525,144.981,14.106,50,197,139.429,44.803,1,499,753,53.228,37.908
20,sample_img_04.tif:20_Abnormal,798.838,132.435,13.923,40,181,117.694,40.003,1,365,799,76.815,27.155
21,sample_img_04.tif:21_Normal,1193.988,142.005,14.581,29,199,139.893,49.471,1,596,741,5.810,35.186
22,sample_img_04.tif:22_Normal,1349.217,147.922,13.685,61,206,140.224,45.418,1,71,734,170.481,39.788
23,sample_img_04.tif:23_Abnormal,2515.513,140.652,17.442,26,201,195.940,67.728,1,764,962,73.151,50.624
24,sample_img_04.tif:24_Abnormal,1590.522,137.199,15.886,23,207,156.785,51.243,1,185,837,6.860,40.596
25,sample_img_04.tif:25_Normal,1109.143,141.826,18.654,33,202,132.337,43.872,1,543,783,146.952,33.832
26,sample_img_04.tif:26_Normal,1033.913,144.734,14.776,38,196,129.249,41.037,1,421,867,34.713,34.079
27,sample_img_04.tif:27_Normal,809.838,147.597,17.441,80,205,110.721,35.693,1,107,855,134.824,30.662
28,sample_img_04.tif:28_Abnormal,790.300,138.360,21.628,36,204,120.463,42.715,1,624,907,154.128,27.844
29,sample_img_04.tif:29_Abnormal,498.610,142.568,20.538,34,199,90.981,30.841,1,511,979,61.044,22.494
